user_id,experiment_name,variant,assigned_ts
u_000000,onboarding_v2,control,2024-02-18 18:00:00
u_000001,onboarding_v2,control,2025-02-27 17:00:00
u_000007,onboarding_v2,treatment,2025-01-16 05:00:00
u_000010,onboarding_v2,control,2024-10-15 13:00:00
u_000011,onboarding_v2,treatment,2025-06-16 11:00:00
u_000012,onboarding_v2,treatment,2025-02-06 18:00:00
u_000013,onboarding_v2,control,2025-02-20 17:00:00
u_000016,onboarding_v2,treatment,2024-10-08 22:00:00
u_000017,onboarding_v2,control,2024-03-11 23:00:00
u_000019,onboarding_v2,treatment,2024-09-03 03:00:00
u_000020,onboarding_v2,control,2024-09-30 05:00:00
u_000022,onboarding_v2,control,2024-04-10 07:00:00
u_000023,onboarding_v2,treatment,2025-05-22 06:00:00
u_000026,onboarding_v2,control,2024-08-07 06:00:00
u_000028,onboarding_v2,control,2024-10-24 06:00:00
u_000029,onboarding_v2,treatment,2024-08-30 06:00:00
u_000030,onboarding_v2,treatment,2024-09-03 00:00:00
u_000031,onboarding_v2,treatment,2024-05-05 21:00:00
u_000032,onboarding_v2,treatment,2024-02-20 12:00:00
u_000033,onboarding_v2,treatment,2024-10-29 09:00:00
u_000034,onboarding_v2,treatment,2025-04-30 09:00:00
u_000035,onboarding_v2,treatment,2024-02-04 05:00:00
u_000036,onboarding_v2,treatment,2025-04-13 16:00:00
u_000038,onboarding_v2,control,2024-06-01 13:00:00
u_000040,onboarding_v2,control,2024-04-01 09:00:00
u_000041,onboarding_v2,treatment,2025-02-17 09:00:00
u_000043,onboarding_v2,treatment,2024-07-13 08:00:00
u_000044,onboarding_v2,treatment,2024-02-07 08:00:00
u_000047,onboarding_v2,control,2025-05-03 06:00:00
u_000048,onboarding_v2,treatment,2025-01-05 02:00:00
u_000049,onboarding_v2,control,2025-02-28 23:00:00
u_000051,onboarding_v2,control,2024-04-17 01:00:00
u_000052,onboarding_v2,control,2024-07-18 23:00:00
u_000053,onboarding_v2,treatment,2024-09-11 22:00:00
u_000055,onboarding_v2,control,2024-01-24 08:00:00
u_000056,onboarding_v2,control,2024-10-26 20:00:00
u_000058,onboarding_v2,control,2025-02-10 22:00:00
u_000059,onboarding_v2,treatment,2025-01-08 04:00:00
u_000060,onboarding_v2,treatment,2025-05-19 19:00:00
u_000062,onboarding_v2,treatment,2024-07-20 21:00:00
u_000063,onboarding_v2,control,2025-06-12 12:00:00
u_000064,onboarding_v2,treatment,2024-08-13 23:00:00
u_000066,onboarding_v2,control,2025-05-10 19:00:00
u_000067,onboarding_v2,control,2024-07-21 13:00:00
u_000069,onboarding_v2,treatment,2024-09-14 20:00:00
u_000070,onboarding_v2,treatment,2025-03-11 10:00:00
u_000071,onboarding_v2,control,2024-04-13 19:00:00
u_000072,onboarding_v2,treatment,2024-09-09 12:00:00
u_000074,onboarding_v2,treatment,2025-01-10 23:00:00
u_000075,onboarding_v2,control,2024-09-16 20:00:00
u_000076,onboarding_v2,control,2024-06-30 08:00:00
u_000077,onboarding_v2,control,2024-05-03 05:00:00
u_000079,onboarding_v2,treatment,2025-01-01 17:00:00
u_000080,onboarding_v2,treatment,2025-05-28 19:00:00
u_000081,onboarding_v2,control,2024-08-27 14:00:00
u_000084,onboarding_v2,treatment,2024-12-10 16:00:00
u_000086,onboarding_v2,control,2024-02-24 08:00:00
u_000087,onboarding_v2,treatment,2024-06-20 01:00:00
u_000088,onboarding_v2,control,2025-02-24 14:00:00
u_000090,onboarding_v2,control,2024-08-26 20:00:00
u_000091,onboarding_v2,treatment,2025-03-15 16:00:00
u_000092,onboarding_v2,control,2025-04-05 05:00:00
u_000093,onboarding_v2,treatment,2024-07-31 12:00:00
u_000094,onboarding_v2,treatment,2025-05-06 00:00:00
u_000095,onboarding_v2,treatment,2024-06-07 15:00:00
u_000097,onboarding_v2,control,2025-01-07 06:00:00
u_000098,onboarding_v2,control,2024-12-14 00:00:00
u_000099,onboarding_v2,treatment,2024-03-17 06:00:00
u_000102,onboarding_v2,treatment,2025-03-15 21:00:00
u_000104,onboarding_v2,control,2025-03-12 21:00:00
u_000105,onboarding_v2,treatment,2025-03-06 05:00:00
u_000106,onboarding_v2,control,2025-03-03 07:00:00
u_000109,onboarding_v2,control,2025-01-21 17:00:00
u_000110,onboarding_v2,control,2024-06-01 13:00:00
u_000111,onboarding_v2,control,2025-03-03 06:00:00
u_000112,onboarding_v2,treatment,2024-10-31 09:00:00
u_000113,onboarding_v2,control,2024-09-07 20:00:00
u_000115,onboarding_v2,treatment,2024-11-06 23:00:00
u_000116,onboarding_v2,treatment,2024-01-21 04:00:00
u_000117,onboarding_v2,control,2024-03-17 12:00:00
u_000118,onboarding_v2,treatment,2024-05-14 05:00:00
u_000121,onboarding_v2,control,2024-12-30 06:00:00
u_000122,onboarding_v2,treatment,2024-12-24 23:00:00
u_000124,onboarding_v2,control,2025-04-12 04:00:00
u_000125,onboarding_v2,treatment,2024-11-04 04:00:00
u_000126,onboarding_v2,control,2024-02-14 01:00:00
u_000128,onboarding_v2,treatment,2024-11-09 21:00:00
u_000130,onboarding_v2,treatment,2024-11-04 03:00:00
u_000131,onboarding_v2,control,2024-10-29 13:00:00
u_000132,onboarding_v2,control,2024-02-20 18:00:00
u_000134,onboarding_v2,control,2025-03-11 15:00:00
u_000135,onboarding_v2,treatment,2024-06-14 10:00:00
u_000136,onboarding_v2,treatment,2024-11-25 15:00:00
u_000137,onboarding_v2,control,2024-01-17 08:00:00
u_000138,onboarding_v2,control,2024-07-08 04:00:00
u_000142,onboarding_v2,treatment,2024-05-30 10:00:00
u_000143,onboarding_v2,control,2024-08-12 12:00:00
u_000144,onboarding_v2,control,2025-06-26 12:00:00
u_000146,onboarding_v2,treatment,2024-01-20 14:00:00
u_000147,onboarding_v2,control,2024-05-08 23:00:00
